,device,gpa,semester,degree,age,sex,stress,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,week_1,week_2,week_3,week_4,week_5,week_6,yesterday_1,yesterday_2,yesterday_3,yesterday_4,yesterday_5,yesterday_6,yesterday_typical,enough_1,enough_2,enough_3,enough_4,enough_5,enough_6,survey_time,cast
80,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
81,pc/laptop,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
82,mobile,,,,,,5.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
83,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
84,pc/laptop,,,,,,4.0,2.0,3.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
85,mobile,,,,,,5.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
86,pc/laptop,,,,,,7.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,complex
87,pc/laptop,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
88,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
89,pc/laptop,,,,,,2.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
90,mobile,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
91,tablet,,,,,,6.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
92,mobile,,,,,,6.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,complex
93,pc/laptop,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
94,pc/laptop,,,,,,5.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
95,pc/laptop,,,,,,6.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
96,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
97,pc/laptop,,,,,,3.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
98,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
99,pc/laptop,,,,,,6.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
100,mobile,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
101,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
102,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
103,pc/laptop,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
104,mobile,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
105,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
106,pc/laptop,,,,,,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
107,mobile,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
108,mobile,,,,,,5.0,4.0,3.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
109,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
110,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
111,mobile,,,,,,4.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,complex
112,mobile,,,,,,5.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,complex
113,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
114,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
115,pc/laptop,,,,,,5.0,3.0,4.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
116,pc/laptop,,,,,,7.0,1.0,3.0,2.0,,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
117,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
118,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
119,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
120,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
121,pc/laptop,,,,,,6.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,complex
122,mobile,,,,,,5.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
123,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
124,mobile,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
125,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
126,tablet,,,,,,5.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
127,pc/laptop,,,,,,3.0,4.0,3.0,1.0,4.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
128,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
129,pc/laptop,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
130,pc/laptop,,,,,,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,complex
131,pc/laptop,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
132,pc/laptop,,,,,,5.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
133,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
134,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
135,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
136,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
137,mobile,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
138,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
139,pc/laptop,,,,,,3.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
140,pc/laptop,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
141,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
142,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
143,mobile,,,,,,6.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
144,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
145,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
146,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
147,tablet,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
148,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
149,pc/laptop,,,,,,5.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
150,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
151,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
152,pc/laptop,,,,,,5.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
153,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
154,pc/laptop,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
155,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
156,mobile,,,,,,6.0,4.0,3.0,1.0,4.0,4.0,4.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,complex
157,pc/laptop,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
158,pc/laptop,,,,,,5.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
159,pc/laptop,,,,,,4.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
160,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
161,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
162,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
163,pc/laptop,,,,,,4.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
164,mobile,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
165,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
166,pc/laptop,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
167,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
168,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
169,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
170,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
171,pc/laptop,,,,,,7.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,4.0,1.0,4.0,3.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,complex
172,mobile,,,,,,1.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
173,no answer,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
174,pc/laptop,,,,,,5.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
175,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
176,pc/laptop,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
177,pc/laptop,,,,,,4.0,3.0,4.0,2.0,3.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
178,pc/laptop,,,,,,2.0,4.0,3.0,1.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
179,pc/laptop,,,,,,6.0,3.0,4.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
180,pc/laptop,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
181,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
182,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
183,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
184,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
185,mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
186,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
187,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
188,pc/laptop,,,,,,4.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
189,mobile,,,,,,6.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
190,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
191,pc/laptop,,,,,,3.0,4.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,complex
192,pc/laptop,,,,,,6.0,2.0,4.0,1.0,3.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
193,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
194,pc/laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
195,mobile,,,,,,5.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,complex
196,pc/laptop,,,,,,4.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,complex
197,pc/laptop,,12.0,3.0,24.0,1.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,2.0,5.0,complex
198,pc/laptop,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complex
